"REF_DATE","GEO","DGUID","Age (13B)","Knowledge of official languages (5)","Statistics (6A)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","1.1.1.6","33121175","","","","0"
"2021","Canada","2021A000011124","Total - Age","English only","2011 Counts","","0","units","0","","1.1.2.6","22564665","","","","0"
"2021","Canada","2021A000011124","Total - Age","French only","2011 Counts","","0","units","0","","1.1.3.6","4165015","","","","0"
"2021","Canada","2021A000011124","Total - Age","English and French","2011 Counts","","0","units","0","","1.1.4.6","5795570","","","","0"
"2021","Canada","2021A000011124","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","1.1.5.6","595920","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","2.1.1.6","509950","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","English only","2011 Counts","","0","units","0","","2.1.2.6","485740","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","French only","2011 Counts","","0","units","0","","2.1.3.6","130","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","English and French","2011 Counts","","0","units","0","","2.1.4.6","23455","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","2.1.5.6","630","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","3.1.1.6","138435","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","English only","2011 Counts","","0","units","0","","3.1.2.6","120585","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","French only","2011 Counts","","0","units","0","","3.1.3.6","130","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","English and French","2011 Counts","","0","units","0","","3.1.4.6","17005","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","3.1.5.6","715","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","4.1.1.6","910620","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","English only","2011 Counts","","0","units","0","","4.1.2.6","814675","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","French only","2011 Counts","","0","units","0","","4.1.3.6","875","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","English and French","2011 Counts","","0","units","0","","4.1.4.6","93435","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","4.1.5.6","1635","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","5.1.1.6","739895","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","English only","2011 Counts","","0","units","0","","5.1.2.6","426670","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","French only","2011 Counts","","0","units","0","","5.1.3.6","66375","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","English and French","2011 Counts","","0","units","0","","5.1.4.6","245885","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","5.1.5.6","960","","","","0"
"2021","Quebec","2021A000224","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","6.1.1.6","7815950","","","","0"
"2021","Quebec","2021A000224","Total - Age","English only","2011 Counts","","0","units","0","","6.1.2.6","363860","","","","0"
"2021","Quebec","2021A000224","Total - Age","French only","2011 Counts","","0","units","0","","6.1.3.6","4047175","","","","0"
"2021","Quebec","2021A000224","Total - Age","English and French","2011 Counts","","0","units","0","","6.1.4.6","3328725","","","","0"
"2021","Quebec","2021A000224","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","6.1.5.6","76190","","","","0"
"2021","Ontario","2021A000235","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","7.1.1.6","12722065","","","","0"
"2021","Ontario","2021A000235","Total - Age","English only","2011 Counts","","0","units","0","","7.1.2.6","10984360","","","","0"
"2021","Ontario","2021A000235","Total - Age","French only","2011 Counts","","0","units","0","","7.1.3.6","42980","","","","0"
"2021","Ontario","2021A000235","Total - Age","English and French","2011 Counts","","0","units","0","","7.1.4.6","1395805","","","","0"
"2021","Ontario","2021A000235","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","7.1.5.6","298920","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","8.1.1.6","1193095","","","","0"
"2021","Manitoba","2021A000246","Total - Age","English only","2011 Counts","","0","units","0","","8.1.2.6","1074335","","","","0"
"2021","Manitoba","2021A000246","Total - Age","French only","2011 Counts","","0","units","0","","8.1.3.6","1490","","","","0"
"2021","Manitoba","2021A000246","Total - Age","English and French","2011 Counts","","0","units","0","","8.1.4.6","103140","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","8.1.5.6","14135","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","9.1.1.6","1018310","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","English only","2011 Counts","","0","units","0","","9.1.2.6","965925","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","French only","2011 Counts","","0","units","0","","9.1.3.6","430","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","English and French","2011 Counts","","0","units","0","","9.1.4.6","46570","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","9.1.5.6","5390","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","10.1.1.6","3610185","","","","0"
"2021","Alberta","2021A000248","Total - Age","English only","2011 Counts","","0","units","0","","10.1.2.6","3321815","","","","0"
"2021","Alberta","2021A000248","Total - Age","French only","2011 Counts","","0","units","0","","10.1.3.6","3205","","","","0"
"2021","Alberta","2021A000248","Total - Age","English and French","2011 Counts","","0","units","0","","10.1.4.6","235565","","","","0"
"2021","Alberta","2021A000248","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","10.1.5.6","49600","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","11.1.1.6","4356205","","","","0"
"2021","British Columbia","2021A000259","Total - Age","English only","2011 Counts","","0","units","0","","11.1.2.6","3912950","","","","0"
"2021","British Columbia","2021A000259","Total - Age","French only","2011 Counts","","0","units","0","","11.1.3.6","2050","","","","0"
"2021","British Columbia","2021A000259","Total - Age","English and French","2011 Counts","","0","units","0","","11.1.4.6","296645","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","11.1.5.6","144560","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","12.1.1.6","33655","","","","0"
"2021","Yukon","2021A000260","Total - Age","English only","2011 Counts","","0","units","0","","12.1.2.6","29050","","","","0"
"2021","Yukon","2021A000260","Total - Age","French only","2011 Counts","","0","units","0","","12.1.3.6","90","","","","0"
"2021","Yukon","2021A000260","Total - Age","English and French","2011 Counts","","0","units","0","","12.1.4.6","4415","","","","0"
"2021","Yukon","2021A000260","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","12.1.5.6","95","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","13.1.1.6","41040","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","English only","2011 Counts","","0","units","0","","13.1.2.6","37040","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","French only","2011 Counts","","0","units","0","","13.1.3.6","50","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","English and French","2011 Counts","","0","units","0","","13.1.4.6","3720","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","13.1.5.6","230","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Total - Knowledge of official languages","2011 Counts","","0","units","0","","14.1.1.6","31765","","","","0"
"2021","Nunavut","2021A000262","Total - Age","English only","2011 Counts","","0","units","0","","14.1.2.6","27665","","","","0"
"2021","Nunavut","2021A000262","Total - Age","French only","2011 Counts","","0","units","0","","14.1.3.6","35","","","","0"
"2021","Nunavut","2021A000262","Total - Age","English and French","2011 Counts","","0","units","0","","14.1.4.6","1200","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Neither English nor French","2011 Counts","","0","units","0","","14.1.5.6","2860","","","","0"


